GENE	ADJ_1	ADJ_2
MCM2		
CDKN2A		
BARD1		
TOPBP1		
CDK2	-0.13	
CCNE2		
E2F7		
#MCM4		
MCM3		
BRCA1		
#RNASEH2A
CDKN2C		
CDK4		
E2F1		
#CDKN1A		
TP53	-0.13		
CCND1		
RB1		
#E2F4		
#E2F5	-0.13	
CDK6	1.13	
CHEK1		
CHEK2		
TMPO		
TP73		
