GENE	ADJ_1	ADJ_2
MCM2		
CDKN2A		
BARD1		
TOPBP1		
CDK2	-0.13	
CCNE2		
E2F7		
MCM4		
MCM3		
BRCA1	-0.1	
RNASEH2A	-0.05	1.2
CDKN2C		
CDK4		
E2F1		
CDKN1A	-0.1	
TP53		
#TP53	-0.13	
CCND1		
RB1		
E2F4		
E2F5	1.04	1.4
CDK6		
CHEK1		
CHEK2		
TMPO		
TP73		
